"type","genotype","N","mean","sd","se","gene","log2Mean","lineGroup"
"47","Cmbr","wt",6,13.6126109853028,7.26607432548058,2.96636242176081,"Solyc01g005520",3.7668719063488,"wt.Solyc01g005520"
"48","Cother","tf2",4,35.0719504310879,14.5503533733303,7.27517668666516,"Solyc01g005520",5.13224575926804,"tf2.Solyc01g005520"
"49","Cother","wt",3,21.0103122873347,19.9717042030285,11.5306687977941,"Solyc01g005520",4.39302570059374,"wt.Solyc01g005520"
"50","Ambr","tf2",4,322.486549640617,78.4258274829013,39.2129137414507,"Solyc01g005550",8.33309517923637,"tf2.Solyc01g005550"
"51","Ambr","wt",3,288.51265958634,74.773291662104,43.1703800693101,"Solyc01g005550",8.17249081374679,"wt.Solyc01g005550"
"52","Aother","tf2",4,217.965655558433,75.1073020730588,37.5536510365294,"Solyc01g005550",7.7679570199193,"tf2.Solyc01g005550"
"53","Aother","wt",5,346.135564078556,100.838474112775,45.0963365727034,"Solyc01g005550",8.43519337017962,"wt.Solyc01g005550"
"54","Bmbr","tf2",3,174.391192419887,63.6863687561499,36.7693421450729,"Solyc01g005550",7.44618336880574,"tf2.Solyc01g005550"
"55","Bmbr","wt",4,268.370438860686,57.4289070879468,28.7144535439734,"Solyc01g005550",8.06808195647736,"wt.Solyc01g005550"
"56","Bother","tf2",4,427.801374294551,58.8629880451319,29.4314940225659,"Solyc01g005550",8.74079730688439,"tf2.Solyc01g005550"
"57","Bother","wt",4,378.824622197742,165.404264034742,82.7021320173712,"Solyc01g005550",8.56538629346419,"wt.Solyc01g005550"
"58","Cmbr","tf2",4,267.616687556245,121.017377776679,60.5086888883393,"Solyc01g005550",8.06402426952095,"tf2.Solyc01g005550"
"59","Cmbr","wt",6,399.231831894204,216.038355709798,88.1972893931489,"Solyc01g005550",8.64108294523208,"wt.Solyc01g005550"
"60","Cother","tf2",4,485.059982764048,233.906192229325,116.953096114663,"Solyc01g005550",8.92201935250834,"tf2.Solyc01g005550"
"61","Cother","wt",3,406.572603384513,84.8463033764224,48.9860360941221,"Solyc01g005550",8.66736919321868,"wt.Solyc01g005550"
"62","Ambr","tf2",4,11.3893787765976,5.50977809086229,2.75488904543114,"Solyc01g006130",3.50961715357837,"tf2.Solyc01g006130"
"63","Ambr","wt",3,7.69934672026644,6.45888252248648,3.72903756302174,"Solyc01g006130",2.94473604016922,"wt.Solyc01g006130"
"64","Aother","tf2",4,18.996911879092,9.61645817202488,4.80822908601244,"Solyc01g006130",4.24769300929527,"tf2.Solyc01g006130"
"65","Aother","wt",5,21.1543776327957,10.565833232447,4.72518426933557,"Solyc01g006130",4.40288433674863,"wt.Solyc01g006130"
"66","Bmbr","tf2",3,7.88589498904811,5.67381692782922,3.27577973061486,"Solyc01g006130",2.97927449921212,"tf2.Solyc01g006130"
"67","Bmbr","wt",4,8.48365291425324,3.73830529198866,1.86915264599433,"Solyc01g006130",3.0846855981046,"wt.Solyc01g006130"
"68","Bother","tf2",4,19.3504872992452,8.66275650901516,4.33137825450758,"Solyc01g006130",4.27429799279981,"tf2.Solyc01g006130"
"69","Bother","wt",4,7.79517440844427,5.28725397538918,2.64362698769459,"Solyc01g006130",2.96258130199718,"wt.Solyc01g006130"
"70","Cmbr","tf2",4,14.2775939786867,14.3885698793768,7.1942849396884,"Solyc01g006130",3.83568097569167,"tf2.Solyc01g006130"
"71","Cmbr","wt",6,8.61400055562314,7.03232624533593,2.87093516764255,"Solyc01g006130",3.10668341663697,"wt.Solyc01g006130"
"72","Cother","tf2",4,16.043014556903,14.1790439958799,7.08952199793994,"Solyc01g006130",4.00387335124766,"tf2.Solyc01g006130"
"73","Cother","wt",3,11.7597102273362,8.80057836581789,5.08101628852936,"Solyc01g006130",3.55578060584942,"wt.Solyc01g006130"
"74","Ambr","tf2",4,3.78386902267125,2.02604846475529,1.01302423237764,"Solyc01g006330",1.91986215114744,"tf2.Solyc01g006330"
"75","Ambr","wt",3,3.31814727234792,1.38152411752112,0.797623321142776,"Solyc01g006330",1.73037792016081,"wt.Solyc01g006330"
"76","Aother","tf2",4,7.33674434654008,2.16570155993942,1.08285077996971,"Solyc01g006330",2.87514001442178,"tf2.Solyc01g006330"
"77","Aother","wt",5,5.90156312098922,3.07605493455913,1.37565358723958,"Solyc01g006330",2.56109712535973,"wt.Solyc01g006330"
"78","Bmbr","tf2",3,31.370632527191,46.9977866792156,27.1341847905618,"Solyc01g006330",4.9713427134741,"tf2.Solyc01g006330"
"79","Bmbr","wt",4,2.02105639629529,0.927948646374791,0.463974323187396,"Solyc01g006330",1.01510957976829,"wt.Solyc01g006330"
"80","Bother","tf2",4,6.06166749120493,0.71899891015784,0.35949945507892,"Solyc01g006330",2.59971471620233,"tf2.Solyc01g006330"
"81","Bother","wt",4,2.19733770632389,1.41976923254547,0.709884616272733,"Solyc01g006330",1.1357566129554,"wt.Solyc01g006330"
"82","Cmbr","tf2",4,3.01849362750497,3.66977542464901,1.83488771232451,"Solyc01g006330",1.59382875540716,"tf2.Solyc01g006330"
"83","Cmbr","wt",6,3.38970635130409,4.46803219613903,1.82406650581126,"Solyc01g006330",1.76116029876961,"wt.Solyc01g006330"
"84","Cother","tf2",4,9.73427208688005,4.87014695478799,2.43507347739399,"Solyc01g006330",3.28307310057763,"tf2.Solyc01g006330"
"85","Cother","wt",3,3.41085964085555,2.53597968352398,1.46414855294199,"Solyc01g006330",1.77013538831162,"wt.Solyc01g006330"
"86","Ambr","tf2",4,46.7159896038174,7.78344791046097,3.89172395523049,"Solyc01g006890",5.54584452434884,"tf2.Solyc01g006890"
"87","Ambr","wt",3,67.5853244331902,12.3975324393848,7.15771869116594,"Solyc01g006890",6.07863810669082,"wt.Solyc01g006890"
"88","Aother","tf2",4,33.8732770730539,11.97962137614,5.98981068807001,"Solyc01g006890",5.08207566212509,"tf2.Solyc01g006890"
"89","Aother","wt",5,58.0073726104602,21.0551809122344,9.41616315966244,"Solyc01g006890",5.85816437017218,"wt.Solyc01g006890"
"90","Bmbr","tf2",3,34.431739377149,23.5814955099115,13.6147827805414,"Solyc01g006890",5.10566715779935,"tf2.Solyc01g006890"
"91","Bmbr","wt",4,58.532430893088,19.2717509041087,9.63587545205436,"Solyc01g006890",5.87116429094102,"wt.Solyc01g006890"
"92","Bother","tf2",4,44.0880876392935,14.6073075250706,7.30365376253529,"Solyc01g006890",5.46231699499496,"tf2.Solyc01g006890"
"93","Bother","wt",4,33.7330466659021,16.8695667388712,8.43478336943562,"Solyc01g006890",5.07609071894433,"wt.Solyc01g006890"
"94","Cmbr","tf2",4,33.5343997231397,9.24537968691916,4.62268984345958,"Solyc01g006890",5.06756987245218,"tf2.Solyc01g006890"
"95","Cmbr","wt",6,65.4747626801465,29.5145356084884,12.0492587060002,"Solyc01g006890",6.03286702027963,"wt.Solyc01g006890"
"96","Cother","tf2",4,40.212931668985,7.21851918182764,3.60925959091382,"Solyc01g006890",5.32958761257573,"tf2.Solyc01g006890"
"97","Cother","wt",3,42.7502314457388,11.5303235694957,6.65703541669183,"Solyc01g006890",5.41786032552252,"wt.Solyc01g006890"
"98","Ambr","tf2",4,114.997556661825,12.3559061931505,6.17795309657524,"Solyc01g006900",6.84545939851555,"tf2.Solyc01g006900"
"99","Ambr","wt",3,99.0955281004312,21.4407029976777,12.3787956473241,"Solyc01g006900",6.6307480490408,"wt.Solyc01g006900"
"100","Aother","tf2",4,110.189481330148,51.7941453302146,25.8970726651073,"Solyc01g006900",6.78384270082424,"tf2.Solyc01g006900"
"101","Aother","wt",5,127.414068652987,31.3802300533857,14.0336655097904,"Solyc01g006900",6.99338077392547,"wt.Solyc01g006900"
"102","Bmbr","tf2",3,48.8674140974427,27.7312322177564,16.0106343858817,"Solyc01g006900",5.61080085882326,"tf2.Solyc01g006900"
"103","Bmbr","wt",4,107.805743787899,27.7996134461106,13.8998067230553,"Solyc01g006900",6.75229023533791,"wt.Solyc01g006900"
"104","Bother","tf2",4,131.658404170486,26.8043645245947,13.4021822622973,"Solyc01g006900",7.0406558058651,"tf2.Solyc01g006900"
"105","Bother","wt",4,125.437771801643,42.2188153384917,21.1094076692458,"Solyc01g006900",6.97082802743303,"wt.Solyc01g006900"
"106","Cmbr","tf2",4,150.061109867463,87.4856306864014,43.7428153432007,"Solyc01g006900",7.22940632348835,"tf2.Solyc01g006900"
"107","Cmbr","wt",6,151.347205859624,74.2757698640368,30.3229560698803,"Solyc01g006900",7.24171823045271,"wt.Solyc01g006900"
"108","Cother","tf2",4,141.126359617701,25.7364841211346,12.8682420605673,"Solyc01g006900",7.14084366982892,"tf2.Solyc01g006900"
